Warehouse_ID,Warehouse_Address,Part_ID,On_Hand,Reserved,Damaged,Available,Reorder_Level
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",FIL-4001,85,7,1,77,15
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",FIL-4001,101,10,1,90,20
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",FIL-4001,77,9,1,67,13
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",FIL-4001,82,11,1,70,12
WH-Southeast-GA,"Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010, India",FIL-4001,101,8,1,92,18
WH-Northeast-NY,"Beltola Industrial Area, Guwahati, Assam 781028, India",FIL-4001,101,10,1,90,23
WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",FIL-4001,105,13,1,91,21
WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",FIL-4001,81,11,1,69,14
WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",FIL-4001,90,7,1,82,15
WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",FIL-4001,103,10,1,92,18
WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",FIL-4002,69,6,1,62,9
WH-East-NC,"19 Canal South Road, Topsia, Kolkata, West Bengal 700046, India",FIL-4002,84,8,1,75,14
WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",FIL-4002,59,7,1,51,6
WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",FIL-4002,73,10,1,62,10
WH-South-FL,"Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",FIL-4002,77,6,1,70,16
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",FIL-4002,74,7,1,66,11
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",FIL-4002,88,11,1,76,15
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",FIL-4002,69,10,1,58,10
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",FIL-4002,71,6,1,64,8
WH-Southeast-GA,"Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010, India",FIL-4002,75,8,1,66,14
WH-Northeast-NY,"Beltola Industrial Area, Guwahati, Assam 781028, India",FIL-4002,87,10,1,76,17
WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",FIL-4002,68,10,1,57,12
WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",FIL-4002,71,6,1,64,10
WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",FIL-4002,79,8,1,70,11
WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",FIL-4002,77,9,1,67,14
WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",FIL-4003,73,7,1,65,9
WH-East-NC,"19 Canal South Road, Topsia, Kolkata, West Bengal 700046, India",FIL-4003,90,11,1,78,15
WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",FIL-4003,63,9,1,53,6
WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",FIL-4003,66,5,1,60,11
WH-South-FL,"Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",FIL-4003,81,8,1,72,16
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",FIL-4003,80,10,1,69,12
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",FIL-4003,70,10,1,59,12
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",FIL-4003,73,6,1,66,10
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",FIL-4003,63,6,1,56,8
WH-Southeast-GA,"Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010, India",FIL-4003,80,10,1,69,14
WH-Northeast-NY,"Beltola Industrial Area, Guwahati, Assam 781028, India",FIL-4003,93,13,1,79,18
WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",FIL-4003,72,6,1,65,12
WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",FIL-4003,77,8,1,68,11
WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",FIL-4003,70,8,1,61,11
WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",FIL-4003,82,11,1,70,14
WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",FIL-4004,96,12,1,83,14
WH-East-NC,"19 Canal South Road, Topsia, Kolkata, West Bengal 700046, India",FIL-4004,116,16,1,99,21
WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",FIL-4004,67,5,1,61,9
WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",FIL-4004,85,8,1,76,15
WH-South-FL,"Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",FIL-4004,107,13,1,93,23
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",FIL-4004,104,15,1,88,17
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",FIL-4004,91,7,1,83,17
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",FIL-4004,80,8,1,71,15
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",FIL-4004,82,10,1,71,12
WH-Southeast-GA,"Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010, India",FIL-4004,104,15,1,88,20
WH-Northeast-NY,"Beltola Industrial Area, Guwahati, Assam 781028, India",FIL-4004,88,7,1,80,18
WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",FIL-4004,93,9,1,83,17
WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",FIL-4004,82,10,1,71,15
WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",FIL-4004,93,13,1,79,17
WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",FIL-4004,106,8,1,97,20
WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",FIL-4005,101,14,1,86,14
WH-East-NC,"19 Canal South Road, Topsia, Kolkata, West Bengal 700046, India",FIL-4005,76,6,1,69,15
WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",FIL-4005,72,7,1,64,9
WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",FIL-4005,90,11,1,78,15
WH-South-FL,"Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",FIL-4005,112,16,1,95,23
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",FIL-4005,109,9,1,99,17
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",FIL-4005,81,8,1,72,17
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",FIL-4005,85,10,1,74,15
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",FIL-4005,90,13,1,76,14
WH-Southeast-GA,"Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010, India",FIL-4005,109,9,1,99,20
WH-Northeast-NY,"Beltola Industrial Area, Guwahati, Assam 781028, India",FIL-4005,94,9,1,84,19
WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",FIL-4005,84,10,1,73,17
WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",FIL-4005,87,12,1,74,15
WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",FIL-4005,98,8,1,89,17
WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",FIL-4005,82,8,1,73,15
